time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,189.82607513466476,-387.1528551853306,134.91874541123136,63.13451872924502,1120.0711381815033,126.19993162348102,0.021184211953150928,0.006065063298775197,0.694721587772339,0.7189411378229695,-0.009710098629032713,0.0013827337924367715,-0.0033985330371081707,0.9999461245512528
0.05,189.78962440829676,-387.16679986758066,134.9298696720213,63.1554272749478,1120.1163985828973,126.20373075571024,0.021418036315713977,0.0057475059527203436,0.6946902879998046,0.7189670629830346,-0.00972906740810796,0.0013016625875611147,-0.003391189137340789,0.999946073925045
0.05,189.8644526921941,-387.1713760422488,134.92738166254236,63.21479196189466,1120.1193229393796,126.22302431993306,0.020821604886990492,0.00690359115557287,0.6944737303074513,0.7191835920764185,-0.009691703381614854,0.0013646929592700254,-0.00317510488158811,0.9999470622026352
0.05,189.84211273258197,-387.16484351681197,134.89999684595628,63.26778655178944,1120.0989766784514,126.21367895319408,0.020825975572702687,0.006402794729549485,0.694516079144325,0.7191472024356976,-0.009765629131190954,0.001666744058761365,-0.003001815149967227,0.9999464203434703
0.05,189.78330220136698,-387.1925291371036,134.90429786581413,63.25487621956612,1120.1013301616283,126.20706211898212,0.022383059534564077,0.004244847472210453,0.6948526312057399,0.7187912080863746,-0.009875837489122337,0.0015206241387594412,-0.0031382781931053936,0.9999451518688912
0.05,189.7683513537061,-387.19849093738105,134.88349650672112,63.237762041768626,1120.0905825295702,126.1847844498542,0.022297857980077877,0.004461207404135501,0.6949043749913185,0.7187425218921741,-0.009649310908437578,0.0014150455162490415,-0.003288404011891526,0.9999470360195254
0.05,189.75595778183083,-387.19856719135936,134.88558581278835,63.2164907102237,1120.0924291879799,126.20326100252207,0.0218596280913385,0.005144548432132973,0.6947185809033704,0.7189310006034968,-0.009539754656082592,0.0013551201067903307,-0.0029809917331088,0.9999491339157632
0.05,189.77653322403836,-387.20056256338023,134.91043924011353,63.152691431792405,1120.0780476424216,126.2153012342396,0.02203910887790526,0.0046773962721034885,0.6949585464526685,0.718696749927517,-0.009806152029863043,0.001429853811748416,-0.0030960885496869846,0.9999461031156314
0.05,189.78604860709814,-387.18995130235834,134.9165926130309,63.176971920248164,1120.1547257554362,126.20961507837137,0.022430601269396614,0.004092633451275688,0.6948639605296062,0.718779656664848,-0.010241369081462687,0.0017220503130161687,-0.0031485844775870717,0.999941115925255
0.05,189.75684354661894,-387.1850785848166,134.8997828504534,63.1976487061692,1120.1548892247265,126.19558222133297,0.02202829133835367,0.004258516411482313,0.6948617089480323,0.7187933116386835,-0.01008263357431969,0.0016105409131882769,-0.003267540126509195,0.9999425332686347
0.05,189.73943898684925,-387.18366348387815,134.90470968979517,63.35037074602191,1120.1945144157526,126.20239005262172,0.021898646997009066,0.004631060352587029,0.6948478677064837,0.7188083494809058,-0.010121018257865065,0.0016215566521536986,-0.0032622432016585884,0.999942144982769
0.05,189.72446330385006,-387.1822483167693,134.93153639472112,64.43018548724024,1120.1403841484719,126.21785040689946,0.021912613416731615,0.004578555580495332,0.6946951518707032,0.7189558541171954,-0.010031702804895397,0.0022677908448674325,-0.003214378750870414,0.9999419432310879
0.05,189.71390361430105,-387.1500721166414,134.93029958135148,70.14289531681273,1120.059859544089,126.09531212883205,0.021750090057620707,0.004887968098591974,0.6948635508921489,0.7187959981746606,-0.009135904863264271,0.001564541628543475,-0.003500826570039292,0.9999509146278874
0.05,189.40052369854857,-387.1461977011116,134.92188844792423,77.88534177950297,1120.2010364209805,125.90685589839546,0.021830915269105293,0.00486561201406256,0.694439500223025,0.7192033909042955,-0.009409681833839736,0.0015424944750678895,-0.003223195373348403,0.9999493435220433
0.05,187.5371291049334,-387.1571481925409,134.90316363469287,85.87601986868606,1120.2012023376517,125.72382130572703,0.020770756853784562,0.007635889872510328,0.694678063654398,0.718980289523261,-0.009797632220032456,0.0012538007255858156,-0.0038900419010870387,0.9999436493926191
0.05,184.2664029531584,-387.1862153996987,135.00851359598263,91.62124902841163,1120.1632629665496,125.59828197412928,0.021426673858697995,0.00710836324576584,0.6956871584802153,0.7179900739878254,-0.008971877038325625,0.0017392362000805317,-0.003858843957406619,0.9999507936909505
0.05,179.60838053137525,-387.1977462475166,135.15520719323945,98.1250621055626,1120.211804704941,125.43568270933719,0.02197617662819753,0.004384584127029338,0.6952346943370195,0.7184333948759275,-0.008953361402143404,0.0014040272030804177,-0.0039953516497354185,0.9999509503932733
